postal codes,borough
H0A,Not assigned
H1A,Pointe-aux-Trembles
H2A,"Saint-Michel,East"
H3A,Downtown Montreal North(McGill University)
H4A,Notre-Dame-de-GrâceNortheast
H5A,Place Bonaventure
H7A,Duvernay-Est
H8A,Not assigned
H9A,Dollard-des-OrmeauxNorthwest
H0B,Not assigned
H1B,Montreal East
H2B,AhuntsicNorth
H3B,Downtown MontrealEast
H4B,Notre-Dame-de-GrâceSouthwest
H5B,Place Desjardins
H7B,Saint-François
H8B,Not assigned
H9B,Dollard-des-OrmeauxEast
H0C,Not assigned
H1C,Rivière-des-PrairiesNortheast
H2C,AhuntsicCentral
H3C,Griffintown(Includes Île Notre-Dame & Île Sainte-Hélène)(Université de Montréal)
H4C,Saint-Henri
H5C,Not assigned
H7C,Saint-Vincent-de-Paul
H8C,Not assigned
H9C,L'Île-BizardNortheast
H0E,Not assigned
H1E,Rivière-des-PrairiesSouthwest
H2E,VillerayNortheast
H3E,L'Île-Des-Soeurs
H4E,Ville Émard
H5E,Not assigned
H7E,Duvernay
H8E,Not assigned
H9E,L'Île-BizardSouthwest
H0G,Not assigned
H1G,Montréal-NordNorth
H2G,Petite-PatrieNortheast
H3G,Downtown MontrealSoutheast (Concordia University)
H4G,VerdunNorth
H5G,Not assigned
H7G,Pont-Viau
H8G,Not assigned
H9G,Dollard-des-OrmeauxSouthwest
H0H,Reserved0H0: Santa Claus
H1H,Montréal-NordSouth
H2H,Plateau Mont-RoyalNorth
H3H,Downtown MontrealSouthwest
H4H,VerdunSouth
H5H,Not assigned
H7H,AuteuilWest
H8H,Not assigned
H9H,Sainte-Geneviève / Pierrefonds
H0J,Not assigned
H1J,AnjouWest
H2J,Plateau Mont-RoyalNorth Central
H3J,Petite-Bourgogne
H4J,CartiervilleCentral
H5J,Not assigned
H7J,AuteuilNortheast
H8J,Not assigned
H9J,Kirkland
H0K,Not assigned
H1K,AnjouEast
H2K,Centre-SudNorth
H3K,Pointe-Saint-Charles
H4K,CartiervilleSouthwest
H5K,Not assigned
H7K,AuteuilSouth
H8K,Not assigned
H9K,Senneville
H0L,Not assigned
H1L,MercierNorth
H2L,Centre-SudSouth
H3L,AhuntsicSouthwest
H4L,Saint-LaurentInner Northeast
H5L,Not assigned
H7L,Sainte-Rose
H8L,Not assigned
H9L,Not assigned
H0M,Akwesasne Region1A0: Akwesasne
H1M,MercierWest
H2M,AhuntsicEast
H3M,CartiervilleNortheast
H4M,Saint-LaurentEast
H5M,Not assigned
H7M,Vimont
H8M,Not assigned
H9M,Not assigned
H0N,Not assigned
H1N,MercierSoutheast
H2N,AhuntsicSoutheast
H3N,Parc-Extension
H4N,Saint-LaurentOuter Northeast
H5N,Not assigned
H7N,Laval-des-Rapides
H8N,LaSalleNorthwest
H9N,Not assigned
H0P,"
Not assigned
"
H1P,Saint-LéonardNorth
H2P,VillerayWest
H3P,Mount RoyalNorth
H4P,Mount RoyalSouth
H5P,Not assigned
H7P,Fabreville
H8P,LaSalleSoutheast
H9P,DorvalOutskirts
H0R,Not assigned
H1R,Saint-LéonardWest
H2R,VilleraySoutheast
H3R,Mount RoyalCentral
H4R,Saint-LaurentCentral
H5R,Not assigned
H7R, Laval-sur-le-Lac 
H8R,LaSalleWest
H9R,Pointe-Claire
H0S,Not assigned
H1S,Saint-LéonardSoutheast
H2S,Petite-PatrieSouthwest
H3S,Côte-des-NeigesNorth
H4S,Saint-LaurentSouthwest
H5S,Not assigned
H7S,ChomedeyNortheast
H8S,LachineEast
H9S,Dorval / L'Île-Dorval
H0T,Not assigned
H1T,RosemontNorth
H2T,Plateau Mont-RoyalWest
H3T,Côte-des-NeigesNortheast
H4T,Saint-LaurentSoutheast
H5T,Not assigned
H7T,ChomedeyNorthwest
H8T,LachineWest
H9T,Not assigned
H0V,Not assigned
H1V,Maisonneuve
H2V,Outremont
H3V,Côte-des-NeigesEast
H4V,Côte Saint-LucEast
H5V,Not assigned
H7V,ChomedeyEast
H8V,Not assigned
H9V,Not assigned
H0W,Not assigned
H1W,Hochelaga
H2W,Plateau Mont-RoyalSouth Central
H3W,Côte-des-NeigesSouthwest
H4W,Côte Saint-LucWest
H5W,Not assigned
H7W,ChomedeySouth
H8W,Not assigned
H9W,Beaconsfield
H0X,Not assigned
H1X,RosemontCentral
H2X,Plateau Mont-RoyalSoutheast
H3X,Hampstead / Côte Saint-Luc
H4X,Montreal West
H5X,Not assigned
H7X,Sainte-Dorothée
H8X,Not assigned
H9X,Sainte-Anne-De-Bellevue
H0Y,Not assigned
H1Y,RosemontSouth
H2Y,Old Montreal
H3Y,WestmountNorth
H4Y,DorvalCentral (YUL)
H5Y,Not assigned
H7Y,Îles-Laval
H8Y,"Pierrefonds-RoxboroRoxboro, A Ma Baie, Cloverdale[3]"
H9Y,Not assigned
H0Z,Not assigned
H1Z,Saint-MichelWest
H2Z,Downtown MontrealNortheast
H3Z,WestmountSouth
H4Z,Tour de la Bourse
H5Z,Not assigned
H7Z,Not assigned
H8Z,Pierrefonds
H9Z,Not assigned
